Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1963,16.554,20.342,23.609,26.827,29.309,28.943,27.324,26.209,26.146,24.631,21.437,17.818
1964,16.468,19.665,25.022,28.314,29.573,29.097,26.491,26.171,25.911,24.587,20.232,17.315
1965,17.907,19.505,23.14,26.503,29.366,29.666,26.834,26.313,26.041,24.829,21.368,17.619
1966,17.543,21.076,24.008,27.748,30.114,29.15,27.668,26.49,26.096,24.621,21.457,17.292
1967,16.668,20.594,22.982,26.908,29.777,29.481,26.967,26.023,25.871,23.98,20.492,18.162
1968,16.341,18.659,23.477,26.827,29.368,29.21,26.948,26.311,26.786,23.995,20.794,17.661
1969,17.129,20.236,25.479,28.122,29.537,29.708,27.086,26.273,25.968,24.706,21.852,17.918
1970,17.4,19.679,23.807,28.212,30.42,28.263,27.102,26.246,25.975,24.582,20.204,16.999
1971,16.778,19.526,23.577,27.642,28.794,27.651,26.391,25.901,26.05,24.049,20.125,17.124
1972,17.132,18.156,24.385,27.132,30.29,30.242,27.55,26.532,26.145,24.411,20.974,18.317
1973,17.62,20.866,24.178,29.166,30.69,29.277,26.986,26.093,26.002,24.209,20.516,17.036
1974,16.738,19.245,24.923,28.495,29.697,29.101,26.961,26.479,26.544,24.768,20.471,16.687
1975,16.257,19.372,23.703,28.273,30.431,28.879,26.416,26.195,25.576,24.676,19.646,16.922
1976,16.913,19.725,24.028,27.148,29.785,28.542,26.897,25.791,25.841,25.04,22.473,18.212
1977,17.035,20.25,25.44,27.388,28.856,28.768,26.619,26.285,25.927,24.633,22.308,17.958
1978,16.64,19.077,22.812,27.576,30.939,28.742,26.344,26.008,25.846,24.696,21.694,17.714
1979,17.828,19.082,23.214,28.217,29.686,30.009,27.479,26.629,26.475,25.165,22.516,18.343
1980,17.593,20.495,24.071,28.968,31.054,28.638,26.887,26.356,26.529,25.015,21.517,17.994
1981,17.067,20.37,23.57,27.894,29.998,29.792,26.82,26.405,26.406,24.626,20.366,17.427
1982,17.866,19.358,22.928,27.155,29.069,29.306,27.911,26.397,26.444,24.975,21.074,18.136
1983,16.758,19.091,23.603,26.473,29.619,29.762,27.492,26.625,26.238,24.043,20.182,17.37
1984,16.993,18.677,24.742,28.079,31.199,29.026,26.721,26.187,25.646,24.396,20.395,18.16
1985,17.592,19.996,25.561,28.279,30.506,29.167,26.684,26.381,26.354,23.814,20.913,18.589
1986,17.185,19.553,24.088,27.84,29.572,29.323,26.944,26.365,26.606,24.651,21.683,17.724
1987,17.611,20.292,24.256,28.111,29.22,30.216,28.174,27.42,27.327,25.159,21.655,18.028
1988,18.235,20.945,24.296,28.377,31.21,29.462,26.92,26.585,26.809,24.609,20.973,18.312
